Stot_molecules,R_active_MAPK_molecules
7.220529581664016005e+05,1.819526627218935027e+04
7.360181416716651293e+05,1.775147928994082758e+04
7.502534249641118804e+05,1.730769230769230853e+04
7.647640320277307183e+05,1.686390532544378584e+04
7.795552878832760034e+05,1.642011834319526679e+04
7.946326205424126238e+05,1.597633136094674592e+04
8.100015629996580537e+05,1.553254437869822323e+04
8.256677552628489211e+05,1.508875739644970417e+04
8.416369464228793513e+05,1.464497041420118330e+04
8.579149967634702334e+05,1.420118343195266243e+04
8.745078799117425224e+05,1.390532544378698185e+04
8.914216850303859683e+05,1.346153846153846098e+04
9.086626190522250254e+05,1.301775147928994011e+04
9.262370089580042986e+05,1.272189349112426135e+04
9.441513040982286911e+05,1.227810650887574047e+04
9.624120785599088995e+05,1.183431952662721778e+04
